State,Year,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16
Madhya Pradesh,2030,-24.516108,20.92466,17.258316,-12.505,19.381353,20.885271,10.838586,-19.840862,-15.985157,-25.976122,-10.316915,19.735565,13.028735,-23.311739,15.502722,24.21266
Maharashtra,2024,-29.367558,25.506271,20.976078,-15.702976,23.297533,25.057163,13.752038,-23.591105,-19.145845,-32.2011,-12.076351,23.328815,16.144596,-28.01824,18.996729,29.132492
Maharashtra,2025,-28.33238,24.558409,20.25898,-15.186838,22.461843,24.192265,13.25622,-22.749605,-18.453089,-31.06337,-11.669473,22.5116,15.57341,-27.035074,18.313448,28.105562
Maharashtra,2026,-27.37186,23.660576,19.555279,-14.6013975,21.710897,23.387863,12.689615,-22.005999,-17.814241,-29.858398,-11.316446,21.800137,14.972789,-26.11675,17.622087,27.138376
Maharashtra,2027,-29.128553,25.20511,20.852654,-15.651709,23.084736,24.888786,13.604337,-23.382978,-18.956646,-31.910624,-12.004101,23.13953,16.014656,-27.792534,18.803116,28.888191
Maharashtra,2028,-29.183731,25.334301,20.851337,-15.610695,23.156284,24.906206,13.660132,-23.445993,-19.023973,-31.994526,-12.006155,23.191736,16.039587,-27.851116,18.869902,28.950039
Maharashtra,2029,-29.032055,25.199442,20.742989,-15.536555,23.027218,24.778862,13.590759,-23.318842,-18.920954,-31.832294,-11.945853,23.064943,15.958792,-27.701757,18.775198,28.798908
Maharashtra,2030,-28.249138,24.474287,20.197863,-15.131555,22.398823,24.122055,13.201384,-22.686428,-18.398355,-30.949831,-11.639979,22.453785,15.517066,-26.95617,18.248571,28.020756
Manipur,2024,-1.8222297,1.4882139,1.6042975,-1.7440143,1.2358028,1.6788361,1.2248006,-1.4891022,-1.1292044,-2.7369883,-0.9387211,1.4626226,1.236324,-1.8386205,1.4215939,2.183085
Manipur,2025,-1.9411105,1.5853485,1.7059473,-1.8648696,1.3124219,1.7872738,1.304513,-1.5721219,-1.2039688,-2.9068847,-0.9848615,1.5394628,1.3238999,-1.9565564,1.5076357,2.3104153
Manipur,2026,-2.0536654,1.677293,1.801307,-1.9772042,1.3854585,1.8895534,1.3790445,-1.6508482,-1.2746931,-3.0660517,-1.0285344,1.6127269,1.4056082,-2.068218,1.5885744,2.430536
Manipur,2027,-2.0186315,1.6486253,1.7715023,-1.941862,1.3631428,1.8577054,1.3553122,-1.6262975,-1.2526002,-3.0160418,-1.0151268,1.5902302,1.3796858,-2.033746,1.5630368,2.3930826
Manipur,2028,-2.0027266,1.6355869,1.7578601,-1.9253736,1.3530438,1.8431946,1.3443409,-1.6152765,-1.2425874,-2.9929636,-1.0090581,1.580106,1.367779,-2.0180116,1.5513226,2.3759649
Manipur,2029,-1.9964653,1.6304401,1.7525066,-1.918999,1.3490086,1.8374785,1.3400929,-1.6108917,-1.2386402,-2.9839506,-1.0066375,1.5760562,1.3631424,-2.0117893,1.5467578,2.369236
Manipur,2030,-1.9988986,1.6324071,1.7545913,-1.9215906,1.3505081,1.8396912,1.3417965,-1.612531,-1.2401586,-2.987491,-1.0075434,1.5775566,1.364976,-2.0141675,1.54857,2.3718498
Meghalaya,2024,-5.285927,4.3231125,4.421748,-4.8078847,3.6166403,4.809048,3.2914333,-4.024981,-3.3117476,-7.300479,-2.3468893,3.855618,3.5731583,-5.2894983,3.81722,5.834918
